name	task1	task2	task3
cls1_1	1	0	0
cls1_2	1	0	0
cls1_3	1	0	0
cls1_4	1	0	0
cls1_5	1	0	0
cls1_6	1	0	0
cls1_7	1	0	0
cls1_8	1	0	0
cls1_9	1	0	0
cls1_10	1	0	0
cls1_11	1	0	0
cls1_12	1	0	0
cls1_13	1	0	0
cls1_14	1	0	0
cls1_15	1	0	0
cls1_16	1	0	0
cls1_17	1	0	0
cls1_18	1	0	0
cls1_19	1	0	0
cls1_20	1	0	0
cls1_21	1	0	0
cls1_22	1	0	0
cls1_23	1	0	0
cls1_24	1	0	0
cls1_25	1	0	0
cls1_26	1	0	0
cls1_27	1	0	0
cls1_28	1	0	0
cls1_29	1	0	0
cls1_30	1	0	0
cls1_31	1	0	0
cls1_32	1	0	0
cls1_33	1	0	0
cls1_34	1	0	0
cls1_35	1	0	0
cls1_36	1	0	0
cls1_37	1	0	0
cls1_38	1	0	0
cls1_39	1	0	0
cls1_40	1	0	0
cls1_41	1	0	0
cls1_42	1	0	0
cls1_43	1	0	0
cls1_44	1	0	0
cls1_45	1	0	0
cls1_46	1	0	0
cls1_47	1	0	0
cls1_48	1	0	0
cls1_49	1	0	0
cls1_50	1	0	0
cls1_51	1	0	0
cls1_52	1	0	0
cls1_53	1	0	0
cls1_54	1	0	0
cls1_55	1	0	0
cls1_56	1	0	0
cls1_57	1	0	0
cls1_58	1	0	0
cls1_59	1	0	0
cls1_60	1	0	0
cls1_61	1	0	0
cls1_62	1	0	0
cls1_63	1	0	0
cls1_64	1	0	0
cls1_65	1	0	0
cls1_66	1	0	0
cls1_67	1	0	0
cls1_68	1	0	0
cls1_69	1	0	0
cls1_70	1	0	0
cls1_71	1	0	0
cls1_72	1	0	0
cls1_73	1	0	0
cls1_74	1	0	0
cls1_75	1	0	0
cls1_76	1	0	0
cls1_77	1	0	0
cls1_78	1	0	0
cls1_79	1	0	0
cls1_80	1	0	0
cls1_81	1	0	0
cls1_82	1	0	0
cls1_83	1	0	0
cls1_84	1	0	0
cls1_85	1	0	0
cls1_86	1	0	0
cls1_87	1	0	0
cls1_88	1	0	0
cls1_89	1	0	0
cls1_90	1	0	0
cls1_91	1	0	0
cls1_92	1	0	0
cls1_93	1	0	0
cls1_94	1	0	0
cls1_95	1	0	0
